Feeder,Parquet_Folder,Parquet_File,REAL_LOAD_COUNT
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184108-2.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184116-2.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184124-2.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184131-2.parquet,4
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184147-9.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184157-2.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184182-2.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184207-2.parquet,2
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184220-2.parquet,4
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184288-2.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184315-2.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184349-2.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184377-2.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184394-9.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184401-9.parquet,2
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184433-2.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184492-2.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184518-2.parquet,2
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184522-2.parquet,2
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184529-2.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184530-2.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184615-9.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184617-2.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184700-9.parquet,6
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184706-2.parquet,3
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184717-9.parquet,2
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184776-2.parquet,3
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184858-9.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184863-2.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184884-9.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184941-2.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184968-2.parquet,2
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,185003-9.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,185019-9.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,185028-2.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,102182-4.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,102854-4.parquet,64
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,106657-4.parquet,65
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,118797-4.parquet,3
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,119073-4.parquet,15
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,121985-4.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,131145-4.parquet,4
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,136309-4.parquet,29
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,138494-4.parquet,3
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,140071-4.parquet,3
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,142544-4.parquet,9
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,14281-4.parquet,2
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,147301-4.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,153454-4.parquet,4
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,154106-4.parquet,3
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,159135-4.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,162253-4.parquet,292
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,16610-4.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,170488-4.parquet,4
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,172290-4.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,180039-4.parquet,9
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,182480-4.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,183427-4.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,185745-4.parquet,112
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,203702-4.parquet,9
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,209507-4.parquet,10
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,210194-4.parquet,5
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,217886-4.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,234488-4.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,239542-4.parquet,2
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,254420-4.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,255145-4.parquet,4
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,256192-4.parquet,2
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,269841-4.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,271955-4.parquet,5
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,276587-4.parquet,19
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,277210-4.parquet,5
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,278604-4.parquet,57
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,27882-4.parquet,3
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,305252-4.parquet,11
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,311002-4.parquet,4
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,314691-4.parquet,5
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,316244-4.parquet,3
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,321643-4.parquet,2
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,338150-4.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,341617-4.parquet,2
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,343012-4.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,343215-4.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,343688-4.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,345764-4.parquet,3
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,358611-4.parquet,2
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,370023-4.parquet,7
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,371830-4.parquet,3
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,401600-4.parquet,135
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,405081-4.parquet,3
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,406640-4.parquet,17
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,410527-4.parquet,3
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,411750-4.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,418448-4.parquet,8
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,42104-4.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,42376-4.parquet,9
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,424723-4.parquet,2
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,427948-4.parquet,63
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,43358-4.parquet,2
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,437679-4.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,438998-4.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,458883-4.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,466189-4.parquet,24
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,471837-4.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,475383-4.parquet,2
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,476793-4.parquet,10
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,481916-4.parquet,18
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,484947-4.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,486032-4.parquet,2
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,486410-4.parquet,4
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,486622-4.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,490684-4.parquet,3
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,492040-4.parquet,3
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,493524-4.parquet,8
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,494052-4.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,500793-4.parquet,7
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,508034-4.parquet,3
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,513358-4.parquet,3
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,527227-4.parquet,5
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,529425-4.parquet,36
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,535363-4.parquet,16
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,537910-4.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,543184-4.parquet,11
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,548907-4.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,57049-4.parquet,2
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,57772-4.parquet,3
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,63328-4.parquet,3
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,64056-4.parquet,7
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,66138-4.parquet,3
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,81904-4.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,86159-4.parquet,3
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,87233-4.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,88623-4.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,90560-4.parquet,4
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,9342-4.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,93871-4.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,94199-4.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,97519-4.parquet,7
uhs0_1247--udt14717,parquet_commercial_202512_comm_MT,184105-9.parquet,1
uhs0_1247--udt14717,parquet_commercial_202512_comm_MT,184116-2.parquet,7
uhs0_1247--udt14717,parquet_commercial_202512_comm_MT,184128-2.parquet,1
uhs0_1247--udt14717,parquet_commercial_202512_comm_MT,184131-2.parquet,4
uhs0_1247--udt14717,parquet_commercial_202512_comm_MT,184147-9.parquet,4
uhs0_1247--udt14717,parquet_commercial_202512_comm_MT,184151-2.parquet,1
uhs0_1247--udt14717,parquet_commercial_202512_comm_MT,184154-2.parquet,4
uhs0_1247--udt14717,parquet_commercial_202512_comm_MT,184179-9.parquet,1
uhs0_1247--udt14717,parquet_commercial_202512_comm_MT,184182-2.parquet,1
uhs0_1247--udt14717,parquet_commercial_202512_comm_MT,184183-2.parquet,1
uhs0_1247--udt14717,parquet_commercial_202512_comm_MT,184202-2.parquet,1
uhs0_1247--udt14717,parquet_commercial_202512_comm_MT,184207-2.parquet,1
uhs0_1247--udt14717,parquet_commercial_202512_comm_MT,184217-2.parquet,1
uhs0_1247--udt14717,parquet_commercial_202512_comm_MT,184220-2.parquet,5
uhs0_1247--udt14717,parquet_commercial_202512_comm_MT,184223-2.parquet,5
uhs0_1247--udt14717,parquet_commercial_202512_comm_MT,184241-9.parquet,1
uhs0_1247--udt14717,parquet_commercial_202512_comm_MT,184246-9.parquet,1
uhs0_1247--udt14717,parquet_commercial_202512_comm_MT,184266-9.parquet,1
uhs0_1247--udt14717,parquet_commercial_202512_comm_MT,184285-2.parquet,1
uhs0_1247--udt14717,parquet_commercial_202512_comm_MT,184287-9.parquet,4
uhs0_1247--udt14717,parquet_commercial_202512_comm_MT,184288-2.parquet,3
uhs0_1247--udt14717,parquet_commercial_202512_comm_MT,184297-9.parquet,1
uhs0_1247--udt14717,parquet_commercial_202512_comm_MT,184313-2.parquet,10
uhs0_1247--udt14717,parquet_commercial_202512_comm_MT,184315-2.parquet,3
uhs0_1247--udt14717,parquet_commercial_202512_comm_MT,184370-2.parquet,1
uhs0_1247--udt14717,parquet_commercial_202512_comm_MT,184374-2.parquet,2
uhs0_1247--udt14717,parquet_commercial_202512_comm_MT,184382-9.parquet,1
uhs0_1247--udt14717,parquet_commercial_202512_comm_MT,184394-9.parquet,2
uhs0_1247--udt14717,parquet_commercial_202512_comm_MT,184401-9.parquet,3
uhs0_1247--udt14717,parquet_commercial_202512_comm_MT,184433-2.parquet,1
uhs0_1247--udt14717,parquet_commercial_202512_comm_MT,184436-2.parquet,1
uhs0_1247--udt14717,parquet_commercial_202512_comm_MT,184444-2.parquet,1
uhs0_1247--udt14717,parquet_commercial_202512_comm_MT,184475-9.parquet,1
uhs0_1247--udt14717,parquet_commercial_202512_comm_MT,184478-9.parquet,1
uhs0_1247--udt14717,parquet_commercial_202512_comm_MT,184492-2.parquet,2
uhs0_1247--udt14717,parquet_commercial_202512_comm_MT,184495-2.parquet,1
uhs0_1247--udt14717,parquet_commercial_202512_comm_MT,184505-2.parquet,1
uhs0_1247--udt14717,parquet_commercial_202512_comm_MT,184508-2.parquet,1
uhs0_1247--udt14717,parquet_commercial_202512_comm_MT,184518-2.parquet,14
uhs0_1247--udt14717,parquet_commercial_202512_comm_MT,184551-9.parquet,1
uhs0_1247--udt14717,parquet_commercial_202512_comm_MT,184575-9.parquet,1
uhs0_1247--udt14717,parquet_commercial_202512_comm_MT,184587-2.parquet,1
uhs0_1247--udt14717,parquet_commercial_202512_comm_MT,184596-9.parquet,1
uhs0_1247--udt14717,parquet_commercial_202512_comm_MT,184600-2.parquet,1
uhs0_1247--udt14717,parquet_commercial_202512_comm_MT,184603-2.parquet,1
uhs0_1247--udt14717,parquet_commercial_202512_comm_MT,184616-2.parquet,2
uhs0_1247--udt14717,parquet_commercial_202512_comm_MT,184619-9.parquet,1
uhs0_1247--udt14717,parquet_commercial_202512_comm_MT,184637-9.parquet,1
uhs0_1247--udt14717,parquet_commercial_202512_comm_MT,184646-9.parquet,6
uhs0_1247--udt14717,parquet_commercial_202512_comm_MT,184664-9.parquet,1
uhs0_1247--udt14717,parquet_commercial_202512_comm_MT,184687-2.parquet,2
uhs0_1247--udt14717,parquet_commercial_202512_comm_MT,184693-9.parquet,3
uhs0_1247--udt14717,parquet_commercial_202512_comm_MT,184700-9.parquet,6
uhs0_1247--udt14717,parquet_commercial_202512_comm_MT,184706-2.parquet,14
uhs0_1247--udt14717,parquet_commercial_202512_comm_MT,184717-9.parquet,4
uhs0_1247--udt14717,parquet_commercial_202512_comm_MT,184727-2.parquet,1
uhs0_1247--udt14717,parquet_commercial_202512_comm_MT,184735-2.parquet,1
uhs0_1247--udt14717,parquet_commercial_202512_comm_MT,184744-9.parquet,1
uhs0_1247--udt14717,parquet_commercial_202512_comm_MT,184762-9.parquet,1
uhs0_1247--udt14717,parquet_commercial_202512_comm_MT,184763-2.parquet,1
uhs0_1247--udt14717,parquet_commercial_202512_comm_MT,184772-2.parquet,1
uhs0_1247--udt14717,parquet_commercial_202512_comm_MT,184776-2.parquet,3
uhs0_1247--udt14717,parquet_commercial_202512_comm_MT,184805-2.parquet,2
uhs0_1247--udt14717,parquet_commercial_202512_comm_MT,184809-2.parquet,2
uhs0_1247--udt14717,parquet_commercial_202512_comm_MT,184821-9.parquet,3
uhs0_1247--udt14717,parquet_commercial_202512_comm_MT,184831-9.parquet,2
uhs0_1247--udt14717,parquet_commercial_202512_comm_MT,184838-2.parquet,1
uhs0_1247--udt14717,parquet_commercial_202512_comm_MT,184857-9.parquet,9
uhs0_1247--udt14717,parquet_commercial_202512_comm_MT,184888-9.parquet,1
uhs0_1247--udt14717,parquet_commercial_202512_comm_MT,184908-2.parquet,1
uhs0_1247--udt14717,parquet_commercial_202512_comm_MT,184941-2.parquet,2
uhs0_1247--udt14717,parquet_commercial_202512_comm_MT,184968-2.parquet,2
uhs0_1247--udt14717,parquet_commercial_202512_comm_MT,185003-9.parquet,1
uhs0_1247--udt14717,parquet_commercial_202512_comm_MT,185010-2.parquet,1
uhs0_1247--udt14717,parquet_commercial_202512_comm_MT,185012-9.parquet,1
uhs0_1247--udt14717,parquet_commercial_202512_comm_MT,185019-9.parquet,4
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,102182-4.parquet,2
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,102854-4.parquet,102
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,106657-4.parquet,37
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,117464-4.parquet,1
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,118797-4.parquet,3
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,119073-4.parquet,10
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,126858-4.parquet,2
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,131145-4.parquet,6
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,136309-4.parquet,32
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,138494-4.parquet,8
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,140071-4.parquet,11
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,142544-4.parquet,4
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,14281-4.parquet,1
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,150214-4.parquet,1
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,153454-4.parquet,4
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,154106-4.parquet,8
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,158072-4.parquet,1
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,162253-4.parquet,253
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,16610-4.parquet,1
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,170488-4.parquet,8
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,180039-4.parquet,14
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,182480-4.parquet,1
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,183427-4.parquet,4
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,185745-4.parquet,166
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,201863-4.parquet,2
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,203702-4.parquet,15
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,20806-4.parquet,1
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,209507-4.parquet,15
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,210194-4.parquet,6
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,211030-4.parquet,1
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,216380-4.parquet,1
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,217886-4.parquet,2
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,22193-4.parquet,1
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,226832-4.parquet,1
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,229622-4.parquet,1
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,234488-4.parquet,5
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,238424-4.parquet,1
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,239542-4.parquet,2
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,255145-4.parquet,4
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,257610-4.parquet,1
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,271955-4.parquet,4
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,276587-4.parquet,36
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,277210-4.parquet,8
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,278296-4.parquet,1
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,278604-4.parquet,34
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,27882-4.parquet,2
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,305252-4.parquet,8
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,311002-4.parquet,5
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,314691-4.parquet,4
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,314702-4.parquet,1
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,316244-4.parquet,3
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,319281-4.parquet,1
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,325203-4.parquet,1
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,326339-4.parquet,1
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,338150-4.parquet,8
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,338628-4.parquet,1
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,341215-4.parquet,1
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,341617-4.parquet,6
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,343012-4.parquet,1
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,343688-4.parquet,1
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,345764-4.parquet,3
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,370023-4.parquet,4
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,401600-4.parquet,147
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,402646-4.parquet,3
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,405081-4.parquet,2
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,406640-4.parquet,25
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,410527-4.parquet,2
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,411750-4.parquet,1
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,418448-4.parquet,2
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,42376-4.parquet,5
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,423918-4.parquet,1
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,427948-4.parquet,97
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,437679-4.parquet,3
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,438998-4.parquet,4
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,445537-4.parquet,1
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,448361-4.parquet,1
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,458883-4.parquet,4
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,466189-4.parquet,16
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,471837-4.parquet,2
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,475383-4.parquet,2
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,476793-4.parquet,14
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,481916-4.parquet,12
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,483905-4.parquet,1
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,486032-4.parquet,1
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,486410-4.parquet,6
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,486622-4.parquet,2
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,490684-4.parquet,4
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,492040-4.parquet,10
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,493524-4.parquet,6
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,494052-4.parquet,1
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,500436-4.parquet,1
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,500793-4.parquet,10
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,508034-4.parquet,2
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,513358-4.parquet,4
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,514429-4.parquet,2
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,520607-4.parquet,1
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,527227-4.parquet,9
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,529425-4.parquet,49
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,535363-4.parquet,10
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,537910-4.parquet,2
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,543184-4.parquet,9
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,547866-4.parquet,1
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,57049-4.parquet,4
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,57772-4.parquet,11
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,58337-4.parquet,2
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,63328-4.parquet,4
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,64056-4.parquet,7
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,64092-4.parquet,1
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,68953-4.parquet,1
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,81904-4.parquet,7
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,86159-4.parquet,9
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,88623-4.parquet,2
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,90560-4.parquet,4
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,97519-4.parquet,4
uhs0_1247--udt14717,parquet_residential_short_202512_res_MT,99076-4.parquet,1
uhs0_1247--udt16115,parquet_commercial_202512_comm_MT,184131-2.parquet,1
uhs0_1247--udt16115,parquet_commercial_202512_comm_MT,184182-2.parquet,1
uhs0_1247--udt16115,parquet_commercial_202512_comm_MT,184367-9.parquet,1
uhs0_1247--udt16115,parquet_commercial_202512_comm_MT,184438-9.parquet,1
uhs0_1247--udt16115,parquet_commercial_202512_comm_MT,184518-2.parquet,1
uhs0_1247--udt16115,parquet_commercial_202512_comm_MT,184581-9.parquet,1
uhs0_1247--udt16115,parquet_commercial_202512_comm_MT,184717-9.parquet,2
uhs0_1247--udt16115,parquet_commercial_202512_comm_MT,184776-2.parquet,2
uhs0_1247--udt16115,parquet_commercial_202512_comm_MT,184929-2.parquet,1
uhs0_1247--udt16115,parquet_residential_short_202512_res_MT,102854-4.parquet,8
uhs0_1247--udt16115,parquet_residential_short_202512_res_MT,106657-4.parquet,5
