P_3ph (kW),Q_3ph (kVAr),S_3ph (kVA),hour,timestep, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3,circuit_folder,substation,feeder,scenario,row_type,n_loads,n_evs,n_storage,n_pv,substation_xfmr_kva
,,,0.0,1,900.0,7415.54,-3.95339e-05,7415.54,-120.0,7415.54,120.0,644.576,-10.8348,663.257,-131.021,639.744,109.305,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,0.0,2,1800.0,7415.54,-3.90286e-05,7415.54,-120.0,7415.54,120.0,640.885,-11.11,659.881,-131.26,635.372,109.05,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,0.0,3,2700.0,7415.54,-3.82489e-05,7415.54,-120.0,7415.54,120.0,625.992,-10.981,649.217,-131.176,630.778,109.107,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,1.0,4,0.0,7415.54,-3.79168e-05,7415.54,-120.0,7415.54,120.0,622.517,-11.1025,654.899,-131.233,622.801,109.021,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,1.0,5,900.0,7415.54,-3.73116e-05,7415.54,-120.0,7415.54,120.0,612.82,-11.1172,645.354,-131.268,614.251,109.019,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,1.0,6,1800.0,7415.54,-3.68447e-05,7415.54,-120.0,7415.54,120.0,605.034,-11.1095,633.035,-131.315,606.919,108.947,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,1.0,7,2700.0,7415.54,-3.64356e-05,7415.54,-120.0,7415.54,120.0,599.693,-11.1976,630.616,-131.359,591.382,108.788,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,2.0,8,0.0,7415.54,-3.58359e-05,7415.54,-120.0,7415.54,120.0,591.549,-11.3092,621.28,-131.476,585.021,108.711,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,2.0,9,900.0,7415.54,-3.53113e-05,7415.54,-120.0,7415.54,120.0,583.97,-11.3795,615.868,-131.614,583.762,108.598,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,2.0,10,1800.0,7415.54,-3.50662e-05,7415.54,-120.0,7415.54,120.0,582.642,-11.5574,612.285,-131.749,581.726,108.487,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,2.0,11,2700.0,7415.54,-3.48717e-05,7415.54,-120.0,7415.54,120.0,578.895,-11.5236,600.067,-131.767,575.723,108.566,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,3.0,12,0.0,7415.54,-3.45495e-05,7415.54,-120.0,7415.54,120.0,574.246,-11.5695,595.716,-131.815,575.596,108.546,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,3.0,13,900.0,7415.54,-3.48424e-05,7415.54,-120.0,7415.54,120.0,577.89,-11.4896,592.818,-131.841,569.865,108.542,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,3.0,14,1800.0,7415.54,-3.47636e-05,7415.54,-120.0,7415.54,120.0,578.57,-11.6196,596.99,-131.873,571.868,108.474,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,3.0,15,2700.0,7415.54,-3.42734e-05,7415.54,-120.0,7415.54,120.0,570.412,-11.6194,590.586,-131.828,568.556,108.475,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,4.0,16,0.0,7415.54,-3.45311e-05,7415.54,-120.0,7415.54,120.0,575.144,-11.6487,595.07,-131.924,570.112,108.4,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,4.0,17,900.0,7415.54,-3.41763e-05,7415.54,-120.0,7415.54,120.0,571.67,-11.8089,593.167,-132.014,571.074,108.294,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,4.0,18,1800.0,7415.54,-3.44698e-05,7415.54,-120.0,7415.54,120.0,576.532,-11.8061,596.435,-132.057,576.023,108.291,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,4.0,19,2700.0,7415.54,-3.44861e-05,7415.54,-120.0,7415.54,120.0,578.854,-11.9387,595.577,-132.214,576.908,108.123,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,5.0,20,0.0,7415.54,-3.48519e-05,7415.54,-120.0,7415.54,120.0,589.939,-12.251,608.924,-132.51,586.983,107.926,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,5.0,21,900.0,7415.54,-3.4175e-05,7415.54,-120.0,7415.54,120.0,573.91,-11.9565,596.753,-132.373,576.4,108.065,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,5.0,22,1800.0,7415.54,-3.46825e-05,7415.54,-120.0,7415.54,120.0,589.152,-12.3809,608.658,-132.664,589.179,107.681,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,5.0,23,2700.0,7415.54,-3.54024e-05,7415.54,-120.0,7415.54,120.0,613.264,-13.0891,624.134,-133.131,601.708,107.306,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,6.0,24,0.0,7415.54,-3.49631e-05,7415.54,-120.0,7415.54,120.0,594.192,-12.3979,614.99,-132.75,595.31,107.621,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,6.0,25,900.0,7415.54,-3.53354e-05,7415.54,-120.0,7415.54,120.0,604.251,-12.6241,624.966,-132.934,604.618,107.423,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,6.0,26,1800.0,7415.54,-3.5401e-05,7415.54,-120.0,7415.54,120.0,606.366,-12.6837,626.694,-133.021,609.431,107.396,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,6.0,27,2700.0,7415.54,-3.6047e-05,7415.54,-120.0,7415.54,120.0,616.564,-12.6331,635.706,-132.989,623.094,107.275,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,7.0,28,0.0,7415.54,-3.72652e-05,7415.54,-120.0,7415.54,120.0,650.175,-13.3444,669.076,-133.628,659.062,106.505,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,7.0,29,900.0,7415.54,-3.85269e-05,7415.54,-120.0,7415.54,120.0,681.853,-13.8444,703.076,-134.26,698.429,105.773,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,7.0,30,1800.0,7415.54,-3.98017e-05,7415.54,-120.0,7415.54,120.0,699.813,-13.6169,720.513,-133.993,712.773,106.075,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,7.0,31,2700.0,7415.54,-3.97699e-05,7415.54,-120.0,7415.54,120.0,694.675,-13.3862,714.276,-133.776,707.618,106.334,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,8.0,32,0.0,7415.54,-3.8381e-05,7415.54,-120.0,7415.54,120.0,654.606,-12.5299,676.819,-132.904,664.745,107.365,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,8.0,33,900.0,7415.54,-3.96749e-05,7415.54,-120.0,7415.54,120.0,681.312,-12.7783,699.446,-133.191,687.278,107.089,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,8.0,34,1800.0,7415.54,-4.03204e-05,7415.54,-120.0,7415.54,120.0,703.258,-13.3347,708.941,-133.341,710.641,106.488,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,8.0,35,2700.0,7415.54,-4.0691e-05,7415.54,-120.0,7415.54,120.0,711.57,-13.4266,711.466,-133.309,712.314,106.432,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,9.0,36,0.0,7415.54,-4.04958e-05,7415.54,-120.0,7415.54,120.0,696.026,-12.8107,705.717,-133.079,694.355,107.124,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,9.0,37,900.0,7415.54,-4.10593e-05,7415.54,-120.0,7415.54,120.0,703.939,-12.7201,710.053,-133.131,706.499,107.031,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,9.0,38,1800.0,7415.54,-4.18277e-05,7415.54,-120.0,7415.54,120.0,722.625,-12.9961,727.823,-133.326,726.299,106.655,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,9.0,39,2700.0,7415.54,-4.36377e-05,7415.54,-120.0,7415.54,120.0,766.661,-13.5911,769.766,-133.771,771.615,106.021,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,10.0,40,0.0,7415.54,-4.38648e-05,7415.54,-120.0,7415.54,120.0,775.268,-13.7994,775.586,-133.918,769.91,106.005,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,10.0,41,900.0,7415.54,-4.23287e-05,7415.54,-120.0,7415.54,120.0,734.874,-13.1713,744.704,-133.476,739.209,106.503,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,10.0,42,1800.0,7415.54,-4.13446e-05,7415.54,-120.0,7415.54,120.0,707.585,-12.6565,720.362,-133.136,712.364,106.983,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,10.0,43,2700.0,7415.54,-4.21675e-05,7415.54,-120.0,7415.54,120.0,727.793,-12.9617,726.131,-133.132,713.722,106.996,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,11.0,44,0.0,7415.54,-4.15151e-05,7415.54,-120.0,7415.54,120.0,712.2,-12.743,718.882,-133.059,710.527,107.062,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,11.0,45,900.0,7415.54,-4.11345e-05,7415.54,-120.0,7415.54,120.0,705.206,-12.719,716.192,-133.029,708.357,107.051,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,11.0,46,1800.0,7415.54,-4.13913e-05,7415.54,-120.0,7415.54,120.0,709.693,-12.7234,717.735,-133.061,710.763,107.056,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,11.0,47,2700.0,7415.54,-4.16995e-05,7415.54,-120.0,7415.54,120.0,714.971,-12.7233,719.261,-132.933,710.142,107.239,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,12.0,48,0.0,7415.54,-4.17517e-05,7415.54,-120.0,7415.54,120.0,714.707,-12.6646,730.986,-133.129,715.094,107.145,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,12.0,49,900.0,7415.54,-4.1448e-05,7415.54,-120.0,7415.54,120.0,707.295,-12.5508,724.504,-133.165,711.968,107.104,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,12.0,50,1800.0,7415.54,-4.16809e-05,7415.54,-120.0,7415.54,120.0,712.429,-12.6102,727.748,-133.268,715.873,107.073,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,12.0,51,2700.0,7415.54,-4.12509e-05,7415.54,-120.0,7415.54,120.0,703.276,-12.5168,714.952,-133.098,709.975,107.145,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,13.0,52,0.0,7415.54,-4.16098e-05,7415.54,-120.0,7415.54,120.0,710.859,-12.592,716.686,-133.021,714.204,107.187,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,13.0,53,900.0,7415.54,-4.17664e-05,7415.54,-120.0,7415.54,120.0,712.333,-12.5308,717.487,-133.079,717.255,107.224,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,13.0,54,1800.0,7415.54,-4.17669e-05,7415.54,-120.0,7415.54,120.0,712.128,-12.5198,711.893,-133.009,720.768,107.199,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,13.0,55,2700.0,7415.54,-4.19571e-05,7415.54,-120.0,7415.54,120.0,716.009,-12.5525,715.308,-133.033,719.93,107.245,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,14.0,56,0.0,7415.54,-4.20735e-05,7415.54,-120.0,7415.54,120.0,720.841,-12.6961,724.066,-133.036,725.235,107.191,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,14.0,57,900.0,7415.54,-4.262e-05,7415.54,-120.0,7415.54,120.0,732.753,-12.8223,737.437,-133.255,738.98,106.926,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,14.0,58,1800.0,7415.54,-4.18675e-05,7415.54,-120.0,7415.54,120.0,713.896,-12.5225,719.822,-132.888,718.005,107.256,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,14.0,59,2700.0,7415.54,-4.22748e-05,7415.54,-120.0,7415.54,120.0,719.179,-12.4385,720.501,-132.855,720.313,107.334,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,15.0,60,0.0,7415.54,-4.25958e-05,7415.54,-120.0,7415.54,120.0,727.746,-12.5946,729.053,-132.861,727.183,107.26,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,15.0,61,900.0,7415.54,-4.23151e-05,7415.54,-120.0,7415.54,120.0,727.546,-12.824,728.636,-133.018,726.386,107.031,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,15.0,62,1800.0,7415.54,-4.25145e-05,7415.54,-120.0,7415.54,120.0,726.365,-12.5949,728.481,-132.869,728.221,107.166,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,15.0,63,2700.0,7415.54,-4.25634e-05,7415.54,-120.0,7415.54,120.0,727.62,-12.6159,722.21,-132.782,723.032,107.35,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,16.0,64,0.0,7415.54,-4.19945e-05,7415.54,-120.0,7415.54,120.0,714.906,-12.4636,719.433,-132.732,717.711,107.4,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,16.0,65,900.0,7415.54,-4.2232e-05,7415.54,-120.0,7415.54,120.0,719.325,-12.4828,726.873,-132.686,717.245,107.342,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,16.0,66,1800.0,7415.54,-4.2776e-05,7415.54,-120.0,7415.54,120.0,727.754,-12.4411,736.295,-132.698,725.261,107.379,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,16.0,67,2700.0,7415.54,-4.3069e-05,7415.54,-120.0,7415.54,120.0,736.11,-12.6086,739.365,-132.837,737.33,107.304,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,17.0,68,0.0,7415.54,-4.35946e-05,7415.54,-120.0,7415.54,120.0,744.322,-12.5711,749.821,-132.783,741.191,107.401,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,17.0,69,900.0,7415.54,-4.35948e-05,7415.54,-120.0,7415.54,120.0,740.551,-12.3854,754.989,-132.666,741.454,107.379,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,17.0,70,1800.0,7415.54,-4.43698e-05,7415.54,-120.0,7415.54,120.0,748.273,-12.1186,759.78,-132.473,746.626,107.596,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,17.0,71,2700.0,7415.54,-4.5352e-05,7415.54,-120.0,7415.54,120.0,764.094,-12.0828,776.506,-132.358,768.511,107.747,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,18.0,72,0.0,7415.54,-4.51756e-05,7415.54,-120.0,7415.54,120.0,758.237,-11.9416,774.091,-132.219,765.951,107.839,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,18.0,73,900.0,7415.54,-4.56229e-05,7415.54,-120.0,7415.54,120.0,764.118,-11.8623,779.058,-132.262,774.224,107.969,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,18.0,74,1800.0,7415.54,-4.58539e-05,7415.54,-120.0,7415.54,120.0,770.905,-12.0038,788.74,-132.188,785.65,108.017,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,18.0,75,2700.0,7415.54,-4.5999e-05,7415.54,-120.0,7415.54,120.0,769.441,-11.815,784.419,-131.997,780.269,108.105,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,19.0,76,0.0,7415.54,-4.63083e-05,7415.54,-120.0,7415.54,120.0,767.444,-11.4643,761.429,-131.77,773.984,108.457,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,19.0,77,900.0,7415.54,-4.71413e-05,7415.54,-120.0,7415.54,120.0,779.842,-11.396,764.152,-131.748,777.382,108.654,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,19.0,78,1800.0,7415.54,-4.77149e-05,7415.54,-120.0,7415.54,120.0,790.958,-11.4744,775.002,-131.841,786.493,108.417,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,19.0,79,2700.0,7415.54,-4.76648e-05,7415.54,-120.0,7415.54,120.0,787.667,-11.3558,763.951,-131.606,773.672,108.73,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,20.0,80,0.0,7415.54,-4.70238e-05,7415.54,-120.0,7415.54,120.0,770.165,-11.0128,748.891,-131.332,757.923,109.037,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,20.0,81,900.0,7415.54,-4.66097e-05,7415.54,-120.0,7415.54,120.0,760.484,-10.8653,746.796,-131.326,756.417,108.999,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,20.0,82,1800.0,7415.54,-4.69025e-05,7415.54,-120.0,7415.54,120.0,766.717,-10.9391,748.475,-131.244,758.276,109.097,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,20.0,83,2700.0,7415.54,-4.60359e-05,7415.54,-120.0,7415.54,120.0,748.63,-10.7357,742.823,-131.083,745.027,109.222,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,21.0,84,0.0,7415.54,-4.57995e-05,7415.54,-120.0,7415.54,120.0,745.815,-10.7895,743.789,-131.105,734.658,109.207,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,21.0,85,900.0,7415.54,-4.57472e-05,7415.54,-120.0,7415.54,120.0,744.744,-10.778,739.917,-131.11,735.128,109.22,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,21.0,86,1800.0,7415.54,-4.58085e-05,7415.54,-120.0,7415.54,120.0,744.45,-10.7103,753.021,-131.018,740.595,109.22,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,21.0,87,2700.0,7415.54,-4.54643e-05,7415.54,-120.0,7415.54,120.0,744.596,-11.0108,737.528,-131.048,740.581,109.103,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,22.0,88,0.0,7415.54,-4.5218e-05,7415.54,-120.0,7415.54,120.0,737.861,-10.8692,737.743,-131.284,729.712,109.018,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,22.0,89,900.0,7415.54,-4.43906e-05,7415.54,-120.0,7415.54,120.0,723.111,-10.8018,729.55,-131.154,714.005,109.072,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,22.0,90,1800.0,7415.54,-4.36499e-05,7415.54,-120.0,7415.54,120.0,725.846,-11.5918,725.375,-131.492,698.276,108.819,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,22.0,91,2700.0,7415.54,-4.29673e-05,7415.54,-120.0,7415.54,120.0,697.929,-10.6898,703.486,-130.935,690.176,109.394,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,23.0,92,0.0,7415.54,-4.2526e-05,7415.54,-120.0,7415.54,120.0,692.198,-10.7707,704.165,-131.006,682.735,109.293,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,23.0,93,900.0,7415.54,-4.18132e-05,7415.54,-120.0,7415.54,120.0,680.867,-10.786,698.22,-131.091,672.833,109.205,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,23.0,94,1800.0,7415.54,-4.10161e-05,7415.54,-120.0,7415.54,120.0,666.544,-10.707,693.971,-130.942,667.221,109.343,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,23.0,95,2700.0,7415.54,-4.09823e-05,7415.54,-120.0,7415.54,120.0,667.748,-10.8096,684.737,-130.982,655.762,109.312,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,24.0,96,0.0,7415.54,-4.08293e-05,7415.54,-120.0,7415.54,120.0,667.354,-10.9318,675.037,-131.256,649.879,109.169,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,,0,,,,,,,,,,,,,,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,summary,6389.0,3210.0,1.0,1.0,1000.0
,,,0.0,1,900.0,7415.54,-4.37143e-05,7415.54,-120.0,7415.54,120.0,701.321,-10.2014,712.658,-130.493,703.373,109.871,uhs0_1247_circuit_1_1,uhs0,circuit_1,1,data,,,,,
,,,0.0,2,1800.0,7415.54,-4.25482e-05,7415.54,-120.0,7415.54,120.0,688.936,-10.5655,696.351,-130.855,698.194,109.613,uhs0_1247_circuit_1_1,uhs0,circuit_1,1,data,,,,,
,,,0.0,3,2700.0,7415.54,-4.14542e-05,7415.54,-120.0,7415.54,120.0,670.474,-10.5212,673.208,-130.925,688.491,109.593,uhs0_1247_circuit_1_1,uhs0,circuit_1,1,data,,,,,
,,,1.0,4,0.0,7415.54,-4.04778e-05,7415.54,-120.0,7415.54,120.0,657.549,-10.6921,662.699,-131.116,677.157,109.496,uhs0_1247_circuit_1_1,uhs0,circuit_1,1,data,,,,,
,,,1.0,5,900.0,7415.54,-3.85418e-05,7415.54,-120.0,7415.54,120.0,629.661,-10.9121,647.243,-131.229,661.733,109.427,uhs0_1247_circuit_1_1,uhs0,circuit_1,1,data,,,,,
,,,1.0,6,1800.0,7415.54,-3.77708e-05,7415.54,-120.0,7415.54,120.0,617.873,-10.9623,628.55,-131.374,635.523,109.213,uhs0_1247_circuit_1_1,uhs0,circuit_1,1,data,,,,,
,,,1.0,7,2700.0,7415.54,-3.67044e-05,7415.54,-120.0,7415.54,120.0,603.708,-11.1718,620.797,-131.494,611.736,108.972,uhs0_1247_circuit_1_1,uhs0,circuit_1,1,data,,,,,
,,,2.0,8,0.0,7415.54,-3.59662e-05,7415.54,-120.0,7415.54,120.0,593.628,-11.3046,608.83,-131.662,599.144,108.821,uhs0_1247_circuit_1_1,uhs0,circuit_1,1,data,,,,,
,,,2.0,9,900.0,7415.54,-3.4945e-05,7415.54,-120.0,7415.54,120.0,579.536,-11.4859,602.327,-131.832,587.946,108.588,uhs0_1247_circuit_1_1,uhs0,circuit_1,1,data,,,,,
,,,2.0,10,1800.0,7415.54,-3.49019e-05,7415.54,-120.0,7415.54,120.0,581.195,-11.6407,601.218,-131.912,579.692,108.422,uhs0_1247_circuit_1_1,uhs0,circuit_1,1,data,,,,,
,,,2.0,11,2700.0,7415.54,-3.43308e-05,7415.54,-120.0,7415.54,120.0,572.148,-11.6709,593.714,-131.875,570.414,108.454,uhs0_1247_circuit_1_1,uhs0,circuit_1,1,data,,,,,
,,,3.0,12,0.0,7415.54,-3.4015e-05,7415.54,-120.0,7415.54,120.0,567.663,-11.7224,588.18,-131.938,568.265,108.408,uhs0_1247_circuit_1_1,uhs0,circuit_1,1,data,,,,,
,,,3.0,13,900.0,7415.54,-3.38089e-05,7415.54,-120.0,7415.54,120.0,564.367,-11.7318,588.205,-131.933,562.332,108.405,uhs0_1247_circuit_1_1,uhs0,circuit_1,1,data,,,,,
,,,3.0,14,1800.0,7415.54,-3.38748e-05,7415.54,-120.0,7415.54,120.0,567.108,-11.8406,589.426,-132.008,563.398,108.326,uhs0_1247_circuit_1_1,uhs0,circuit_1,1,data,,,,,
,,,3.0,15,2700.0,7415.54,-3.36063e-05,7415.54,-120.0,7415.54,120.0,561.935,-11.7952,582.027,-131.976,562.013,108.357,uhs0_1247_circuit_1_1,uhs0,circuit_1,1,data,,,,,
,,,4.0,16,0.0,7415.54,-3.39187e-05,7415.54,-120.0,7415.54,120.0,567.681,-11.8299,588.429,-132.064,566.497,108.303,uhs0_1247_circuit_1_1,uhs0,circuit_1,1,data,,,,,
,,,4.0,17,900.0,7415.54,-3.39248e-05,7415.54,-120.0,7415.54,120.0,568.968,-11.9079,589.289,-132.1,568.363,108.218,uhs0_1247_circuit_1_1,uhs0,circuit_1,1,data,,,,,
,,,4.0,18,1800.0,7415.54,-3.41757e-05,7415.54,-120.0,7415.54,120.0,573.627,-11.9373,594.936,-132.172,573.743,108.205,uhs0_1247_circuit_1_1,uhs0,circuit_1,1,data,,,,,
,,,4.0,19,2700.0,7415.54,-3.42702e-05,7415.54,-120.0,7415.54,120.0,577.219,-12.0669,598.093,-132.28,576.998,108.047,uhs0_1247_circuit_1_1,uhs0,circuit_1,1,data,,,,,
,,,5.0,20,0.0,7415.54,-3.49401e-05,7415.54,-120.0,7415.54,120.0,592.834,-12.3381,614.139,-132.557,589.524,107.875,uhs0_1247_circuit_1_1,uhs0,circuit_1,1,data,,,,,
,,,5.0,21,900.0,7415.54,-3.42566e-05,7415.54,-120.0,7415.54,120.0,576.572,-12.04,601.742,-132.415,578.815,108.015,uhs0_1247_circuit_1_1,uhs0,circuit_1,1,data,,,,,
,,,5.0,22,1800.0,7415.54,-3.47413e-05,7415.54,-120.0,7415.54,120.0,591.797,-12.4829,613.512,-132.722,591.58,107.609,uhs0_1247_circuit_1_1,uhs0,circuit_1,1,data,,,,,
,,,5.0,23,2700.0,7415.54,-3.54499e-05,7415.54,-120.0,7415.54,120.0,616.066,-13.2036,629.282,-133.202,604.277,107.217,uhs0_1247_circuit_1_1,uhs0,circuit_1,1,data,,,,,
,,,6.0,24,0.0,7415.54,-3.50277e-05,7415.54,-120.0,7415.54,120.0,596.996,-12.5027,620.181,-132.809,597.898,107.546,uhs0_1247_circuit_1_1,uhs0,circuit_1,1,data,,,,,
,,,6.0,25,900.0,7415.54,-3.5385e-05,7415.54,-120.0,7415.54,120.0,607.015,-12.7388,630.183,-133.002,607.219,107.336,uhs0_1247_circuit_1_1,uhs0,circuit_1,1,data,,,,,
,,,6.0,26,1800.0,7415.54,-3.53525e-05,7415.54,-120.0,7415.54,120.0,608.12,-12.8375,631.242,-133.145,608.01,107.224,uhs0_1247_circuit_1_1,uhs0,circuit_1,1,data,,,,,
,,,6.0,27,2700.0,7415.54,-3.56678e-05,7415.54,-120.0,7415.54,120.0,613.718,-12.8481,637.085,-133.138,620.032,107.082,uhs0_1247_circuit_1_1,uhs0,circuit_1,1,data,,,,,
,,,7.0,28,0.0,7415.54,-3.68075e-05,7415.54,-120.0,7415.54,120.0,646.457,-13.5771,669.636,-133.796,655.129,106.295,uhs0_1247_circuit_1_1,uhs0,circuit_1,1,data,,,,,
,,,7.0,29,900.0,7415.54,-3.78658e-05,7415.54,-120.0,7415.54,120.0,675.649,-14.1254,703.149,-134.454,693.92,105.547,uhs0_1247_circuit_1_1,uhs0,circuit_1,1,data,,,,,
