geography,urbanicity,feeder_id,load_count,smart_ds_relpath,feeder_path
GSO,industrial,ihs0_1247,30,GSO/industrial/solar_high_batteries_high_timeseries/opendss/ihs0_1247,D:/lvg/GSO/industrial/solar_high_batteries_high_timeseries/opendss/ihs0_1247/ihs0_1247--idt999
GSO,industrial,ihs1_1247,19,GSO/industrial/solar_high_batteries_high_timeseries/opendss/ihs1_1247,D:/lvg/GSO/industrial/solar_high_batteries_high_timeseries/opendss/ihs1_1247/ihs1_1247--idt1210
GSO,industrial,ihs1_1247,223,GSO/industrial/solar_high_batteries_high_timeseries/opendss/ihs1_1247,D:/lvg/GSO/industrial/solar_high_batteries_high_timeseries/opendss/ihs1_1247/ihs1_1247--idt1289
GSO,industrial,ihs1_1247,95,GSO/industrial/solar_high_batteries_high_timeseries/opendss/ihs1_1247,D:/lvg/GSO/industrial/solar_high_batteries_high_timeseries/opendss/ihs1_1247/ihs1_1247--idt1439
GSO,industrial,ihs1_1247,127,GSO/industrial/solar_high_batteries_high_timeseries/opendss/ihs1_1247,D:/lvg/GSO/industrial/solar_high_batteries_high_timeseries/opendss/ihs1_1247/ihs1_1247--idt1478
GSO,industrial,ihs1_1247,20,GSO/industrial/solar_high_batteries_high_timeseries/opendss/ihs1_1247,D:/lvg/GSO/industrial/solar_high_batteries_high_timeseries/opendss/ihs1_1247/ihs1_1247--idt1485
GSO,industrial,ihs1_1247,402,GSO/industrial/solar_high_batteries_high_timeseries/opendss/ihs1_1247,D:/lvg/GSO/industrial/solar_high_batteries_high_timeseries/opendss/ihs1_1247/ihs1_1247--idt670
GSO,industrial,ihs2_1247,46,GSO/industrial/solar_high_batteries_high_timeseries/opendss/ihs2_1247,D:/lvg/GSO/industrial/solar_high_batteries_high_timeseries/opendss/ihs2_1247/ihs2_1247--idt1106
GSO,industrial,ihs2_1247,104,GSO/industrial/solar_high_batteries_high_timeseries/opendss/ihs2_1247,D:/lvg/GSO/industrial/solar_high_batteries_high_timeseries/opendss/ihs2_1247/ihs2_1247--idt1380
GSO,industrial,ihs2_1247,116,GSO/industrial/solar_high_batteries_high_timeseries/opendss/ihs2_1247,D:/lvg/GSO/industrial/solar_high_batteries_high_timeseries/opendss/ihs2_1247/ihs2_1247--idt1528
GSO,industrial,ihs2_1247,212,GSO/industrial/solar_high_batteries_high_timeseries/opendss/ihs2_1247,D:/lvg/GSO/industrial/solar_high_batteries_high_timeseries/opendss/ihs2_1247/ihs2_1247--idt486
GSO,industrial,ihs2_1247,80,GSO/industrial/solar_high_batteries_high_timeseries/opendss/ihs2_1247,D:/lvg/GSO/industrial/solar_high_batteries_high_timeseries/opendss/ihs2_1247/ihs2_1247--idt785
GSO,industrial,ihs2_1247,273,GSO/industrial/solar_high_batteries_high_timeseries/opendss/ihs2_1247,D:/lvg/GSO/industrial/solar_high_batteries_high_timeseries/opendss/ihs2_1247/ihs2_1247--idt898
GSO,industrial,ihs3_1247,30,GSO/industrial/solar_high_batteries_high_timeseries/opendss/ihs3_1247,D:/lvg/GSO/industrial/solar_high_batteries_high_timeseries/opendss/ihs3_1247/ihs3_1247--idt1010
GSO,industrial,ihs3_1247,13,GSO/industrial/solar_high_batteries_high_timeseries/opendss/ihs3_1247,D:/lvg/GSO/industrial/solar_high_batteries_high_timeseries/opendss/ihs3_1247/ihs3_1247--idt1153
GSO,industrial,ihs3_1247,67,GSO/industrial/solar_high_batteries_high_timeseries/opendss/ihs3_1247,D:/lvg/GSO/industrial/solar_high_batteries_high_timeseries/opendss/ihs3_1247/ihs3_1247--idt1334
GSO,industrial,ihs3_1247,80,GSO/industrial/solar_high_batteries_high_timeseries/opendss/ihs3_1247,D:/lvg/GSO/industrial/solar_high_batteries_high_timeseries/opendss/ihs3_1247/ihs3_1247--idt226
GSO,industrial,ihs3_1247,299,GSO/industrial/solar_high_batteries_high_timeseries/opendss/ihs3_1247,D:/lvg/GSO/industrial/solar_high_batteries_high_timeseries/opendss/ihs3_1247/ihs3_1247--idt893
GSO,industrial,ihs3_1247,327,GSO/industrial/solar_high_batteries_high_timeseries/opendss/ihs3_1247,D:/lvg/GSO/industrial/solar_high_batteries_high_timeseries/opendss/ihs3_1247/ihs3_1247--idt960
GSO,industrial,ihs4_1247,491,GSO/industrial/solar_high_batteries_high_timeseries/opendss/ihs4_1247,D:/lvg/GSO/industrial/solar_high_batteries_high_timeseries/opendss/ihs4_1247/ihs4_1247--idt1592
GSO,industrial,ihs4_1247,126,GSO/industrial/solar_high_batteries_high_timeseries/opendss/ihs4_1247,D:/lvg/GSO/industrial/solar_high_batteries_high_timeseries/opendss/ihs4_1247/ihs4_1247--idt1682
GSO,industrial,ihs4_1247,49,GSO/industrial/solar_high_batteries_high_timeseries/opendss/ihs4_1247,D:/lvg/GSO/industrial/solar_high_batteries_high_timeseries/opendss/ihs4_1247/ihs4_1247--idt1687
GSO,industrial,ihs4_1247,99,GSO/industrial/solar_high_batteries_high_timeseries/opendss/ihs4_1247,D:/lvg/GSO/industrial/solar_high_batteries_high_timeseries/opendss/ihs4_1247/ihs4_1247--idt194
