bldg_id,upgrade,in.sqft,in.representative_income,in.area_median_income,in.battery,in.bedrooms,in.building_america_climate_zone,in.city,in.county,in.electric_vehicle,in.geometry_building_type_acs,in.geometry_stories,in.heating_fuel,in.heating_setpoint,in.heating_setpoint_has_offset,in.heating_setpoint_offset_magnitude,in.heating_setpoint_offset_period,in.hvac_cooling_efficiency,in.hvac_cooling_partial_space_conditioning,in.hvac_cooling_type,in.hvac_heating_efficiency,in.hvac_heating_type,in.hvac_heating_type_and_fuel,in.hvac_secondary_heating_efficiency,in.hvac_secondary_heating_fuel,in.hvac_secondary_heating_partial_space_conditioning,in.income,in.occupants,in.plug_load_diversity,in.plug_loads,in.vacancy_status,in.water_heater_efficiency,in.water_heater_fuel,out.params.size_cooling_system_primary_k_btu_h,out.params.size_heat_pump_backup_primary_k_btu_h,out.params.size_heating_system_primary_k_btu_h,out.params.size_heating_system_secondary_k_btu_h,out.params.size_water_heater_gal,out.electricity.heating.energy_consumption.kwh,out.electricity.heating_fans_pumps.energy_consumption.kwh,out.electricity.heating_hp_bkup.energy_consumption.kwh,out.electricity.heating_hp_bkup_fa.energy_consumption.kwh,out.electricity.hot_water.energy_consumption.kwh,out.electricity.total.energy_consumption.kwh,out.fuel_oil.heating.energy_consumption.kwh,out.fuel_oil.heating_hp_bkup.energy_consumption.kwh,out.fuel_oil.hot_water.energy_consumption.kwh,out.fuel_oil.total.energy_consumption.kwh,out.natural_gas.heating.energy_consumption.kwh,out.natural_gas.heating_hp_bkup.energy_consumption.kwh,out.natural_gas.hot_water.energy_consumption.kwh,out.natural_gas.total.energy_consumption.kwh,out.propane.heating.energy_consumption.kwh,out.propane.heating_hp_bkup.energy_consumption.kwh,out.propane.hot_water.energy_consumption.kwh,out.propane.total.energy_consumption.kwh,out.site_energy.total.energy_consumption.kwh,out.load.cooling.energy_delivered.kbtu,out.load.heating.energy_delivered.kbtu,out.load.hot_water.energy_delivered.kbtu,out.electricity.summer.peak.kw,out.electricity.winter.peak.kw,out.load.cooling.peak.kbtu_hr,out.load.heating.peak.kbtu_hr,Folder_File,State,income_group
3846,0,881,0.0,Not Available,,2,Cold,In another census Place,G5300030,,Single-Family Detached,2,Electricity,55F,Yes,3F,Night -1h,Non-Ducted Heat Pump,100% Conditioned,Non-Ducted Heat Pump,"MSHP, SEER 14.5, 8.2 HSPF",Non-Ducted Heat Pump,Electricity MSHP,,,,Not Available,0,100%,94%,Vacant,Electric Standard,Electricity,34.85,58.02,34.85,0,30,2979.946641511155,58.0280718941,75.31926503426111,0.8792132105166667,367.8041930661389,5848.526276356866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5848.526276356866,18724.0,31861.0,0.0,5.4793,7.278399999999999,31.875,34.233,Metadata_WA_Residential_WA_baseline_metadata_and_annual_results.csv,WA,Not Available
10449,0,1228,0.0,Not Available,,3,Marine,In another census Place,G5300530,,Single-Family Detached,2,Electricity,55F,Yes,6F,Night -5h,Ducted Heat Pump,100% Conditioned,Ducted Heat Pump,"ASHP, SEER 15, 8.5 HSPF",Ducted Heat Pump,Electricity ASHP,,,,Not Available,0,100%,94%,Vacant,Electric Standard,Electricity,26.11,19.32,26.11,0,50,1339.0417196168833,89.38667640252777,32.23781771894444,0.8792132105166667,371.90718804855,4370.56886947835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4370.56886947835,3945.0,11609.0,0.0,2.8352,4.7297,9.412,21.087,Metadata_WA_Residential_WA_baseline_metadata_and_annual_results.csv,WA,Not Available
13732,0,1228,0.0,Not Available,,4,Cold,Not in a census Place,G5300470,,Single-Family Detached,1,Electricity,55F,Yes,3F,Night +5h,Ducted Heat Pump,100% Conditioned,Ducted Heat Pump,"ASHP, SEER 15, 8.5 HSPF",Ducted Heat Pump,Electricity ASHP,,,,Not Available,0,200%,94%,Vacant,Electric Standard,Electricity,20.43,32.96,20.43,0,50,1966.7999519257835,164.7059414367889,415.5747775042111,8.792132105166667,349.6337867154612,5694.6639645164505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5694.6639645164505,15187.0,19995.0,0.0,3.4478,8.482899999999999,19.136,26.948,Metadata_WA_Residential_WA_baseline_metadata_and_annual_results.csv,WA,Not Available
20067,0,634,0.0,Not Available,,2,Cold,"WA, Yakima",G5300770,,Single-Family Detached,2,Electricity,55F,No,0F,,Ducted Heat Pump,100% Conditioned,Ducted Heat Pump,"ASHP, SEER 13, 7.7 HSPF",Ducted Heat Pump,Electricity ASHP,,,,Not Available,0,50%,94%,Vacant,Electric Standard,Electricity,30.95,43.99,30.95,0,30,3489.8903036108222,266.1085317163778,273.14223740051114,7.3267767543055555,354.3229238382167,5330.962766432723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5330.962766432723,5825.0,29467.0,0.0,2.5541,10.3938,15.776,34.174,Metadata_WA_Residential_WA_baseline_metadata_and_annual_results.csv,WA,Not Available
21666,0,1698,0.0,Not Available,,4,Cold,In another census Place,G5300050,,Single-Family Detached,1,Electricity,55F,Yes,3F,Night +1h,Ducted Heat Pump,100% Conditioned,Ducted Heat Pump,"ASHP, SEER 15, 8.5 HSPF",Ducted Heat Pump,Electricity ASHP,,,,Not Available,0,50%,94%,Vacant,"Electric Heat Pump, 50 gal, 3.45 UEF",Electricity,16.93,26.49,16.93,0,50,1456.5632187559445,104.62637205148332,140.67411368266667,2.9307107017222225,201.04675413814445,4866.152049139578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4866.152049139578,12957.0,14194.0,0.0,2.2669,4.7038,14.597,19.968,Metadata_WA_Residential_WA_baseline_metadata_and_annual_results.csv,WA,Not Available
30682,0,881,0.0,Not Available,,2,Cold,Not in a census Place,G5300470,,Single-Family Detached,1,Electricity,55F,No,0F,,Non-Ducted Heat Pump,100% Conditioned,Non-Ducted Heat Pump,"MSHP, SEER 14.5, 8.2 HSPF",Non-Ducted Heat Pump,Electricity MSHP,,,,Not Available,0,50%,94%,Vacant,Electric Standard,Electricity,19.74,33.23,19.74,0,30,2109.818634169828,47.4775133679,305.08698404928333,2.9307107017222225,355.4952081189056,4925.059334244194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4925.059334244194,13515.0,22295.0,0.0,3.2758000000000003,8.2116,17.745,27.371,Metadata_WA_Residential_WA_baseline_metadata_and_annual_results.csv,WA,Not Available
39806,0,881,0.0,Not Available,,4,Marine,Not in a census Place,G5300410,,Single-Family Detached,1,Electricity,55F,No,0F,,Ducted Heat Pump,100% Conditioned,Ducted Heat Pump,"ASHP, SEER 15, 8.5 HSPF",Ducted Heat Pump,Electricity ASHP,,,,Not Available,0,100%,94%,Vacant,Electric Standard,Electricity,38.57,45.21,38.57,0,50,2184.5517570637444,167.92972320868333,0.0,0.0,365.7526955749333,4286.750543409095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4286.750543409095,4386.0,19104.0,0.0,2.9189000000000003,3.8013,17.895,18.635,Metadata_WA_Residential_WA_baseline_metadata_and_annual_results.csv,WA,Not Available
42804,0,1698,0.0,Not Available,,3,Marine,In another census Place,G5300150,,Single-Family Detached,1,Electricity,55F,Yes,3F,Night -4h,"Room AC, EER 10.7",80% Conditioned,Room AC,"Electric Furnace, 100% AFUE",Ducted Heating,Electricity Electric Furnace,,,,Not Available,0,100%,94%,Vacant,Electric Standard,Electricity,20.74,0.0,45.8,0,50,5960.772496232828,138.6226161914611,0.0,0.0,385.6815283466445,10207.6653740985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10207.6653740985,36927.0,20770.0,0.0,3.4493,10.0578,27.96,32.323,Metadata_WA_Residential_WA_baseline_metadata_and_annual_results.csv,WA,Not Available
47836,0,634,0.0,Not Available,,3,Cold,In another census Place,G5300070,,Single-Family Detached,2,Electricity,55F,Yes,3F,Night -5h,Non-Ducted Heat Pump,100% Conditioned,Non-Ducted Heat Pump,"MSHP, SEER 14.5, 8.2 HSPF",Non-Ducted Heat Pump,Electricity MSHP,,,,Not Available,0,50%,94%,Vacant,Electric Standard,Electricity,26.28,36.76,26.28,0,50,2212.3935087301056,43.66758945566111,13.481269227922224,0.2930710701722222,358.4259188206278,4760.646463877578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4760.646463877578,13119.0,22312.0,0.0,3.7088,4.8234,18.467,20.068,Metadata_WA_Residential_WA_baseline_metadata_and_annual_results.csv,WA,Not Available
47868,0,623,0.0,Not Available,,1,Marine,"WA, Seattle",G5300330,,3 or 4 Unit,2,Electricity,55F,No,0F,,Ducted Heat Pump,100% Conditioned,Ducted Heat Pump,"ASHP, SEER 10, 6.2 HSPF",Ducted Heat Pump,Electricity ASHP,,,,Not Available,0,50%,101%,Vacant,Electric Standard,Electricity,23.15,21.42,23.15,0,30,1266.9462363545167,59.200356174788894,0.0,0.0,357.2536345399389,2319.657520413139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2319.657520413139,1681.0,7530.0,0.0,2.0127,2.3039,7.63,9.048,Metadata_WA_Residential_WA_baseline_metadata_and_annual_results.csv,WA,Not Available
54338,0,881,0.0,Not Available,,3,Cold,In another census Place,G5300250,,Single-Family Detached,2,Electricity,55F,Yes,6F,Night -2h,"AC, SEER 13",100% Conditioned,Central AC,"Electric Furnace, 100% AFUE",Ducted Heating,Electricity Electric Furnace,,,,Not Available,0,200%,94%,Vacant,Electric Standard,Electricity,16.46,0.0,26.3,0,50,3954.407949833794,50.40822406962222,0.0,0.0,352.85756848735554,6856.690757749311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6856.690757749311,5977.0,13609.0,0.0,3.201,7.0485,12.708,20.86,Metadata_WA_Residential_WA_baseline_metadata_and_annual_results.csv,WA,Not Available
55232,0,881,0.0,Not Available,,2,Cold,Not in a census Place,G5300250,,Single-Family Detached,1,Electricity,55F,Yes,3F,Night +5h,Ducted Heat Pump,100% Conditioned,Ducted Heat Pump,"ASHP, SEER 15, 8.5 HSPF",Ducted Heat Pump,Electricity ASHP,,,,Not Available,0,200%,94%,Vacant,Electric Standard,Electricity,15.67,35.31,15.67,0,30,1830.228833225528,155.32766719127778,153.27616970007222,4.102994982411111,352.85756848735554,3522.4211923999387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3522.4211923999387,6774.0,17986.0,0.0,2.3564000000000003,3.8363,13.216,14.929,Metadata_WA_Residential_WA_baseline_metadata_and_annual_results.csv,WA,Not Available
61220,0,5587,0.0,Not Available,,5,Marine,In another census Place,G5300150,,Single-Family Detached,2,Electricity,55F,Yes,12F,Day +4h,Ducted Heat Pump,100% Conditioned,Ducted Heat Pump,"ASHP, SEER 13, 7.7 HSPF",Ducted Heat Pump,Electricity ASHP,,,,Not Available,0,50%,94%,Vacant,Electric Standard,Electricity,29.17,51.81,29.17,0,66,2512.498284586461,157.37916468248335,446.3472398722944,9.085203175338888,368.0972641363112,4289.388183040644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4289.388183040644,4138.0,24826.0,0.0,4.3051,11.966,26.196,48.83,Metadata_WA_Residential_WA_baseline_metadata_and_annual_results.csv,WA,Not Available
62820,0,5587,0.0,Not Available,,4,Marine,In another census Place,G5300670,,Mobile Home,1,Electricity,55F,No,0F,,"AC, SEER 13",100% Conditioned,Central AC,"Electric Furnace, 100% AFUE",Ducted Heating,Electricity Electric Furnace,,,,Not Available,0,50%,102%,Vacant,Electric Standard,Electricity,13.22,0.0,40.47,0,50,8042.749378736295,188.15162705056667,0.0,0.0,364.5804112942444,9402.599144335403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9402.599144335403,2846.0,28083.0,0.0,2.6488,8.616100000000001,13.051,24.076,Metadata_WA_Residential_WA_baseline_metadata_and_annual_results.csv,WA,Not Available
65776,0,854,0.0,Not Available,,1,Marine,In another census Place,G5300330,,50 or more Unit,5,Electricity,55F,Yes,12F,Night -2h,"AC, SEER 13",100% Conditioned,Central AC,"Electric Wall Furnace, 100% AFUE",Non-Ducted Heating,Electricity Electric Wall Furnace,,,,Not Available,0,200%,91%,Vacant,Electric Standard,Electricity,11.42,0.0,11.67,0,30,789.5334630439667,0.0,0.0,0.0,364.2873402240722,2329.6219367989943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2329.6219367989943,5688.0,2662.0,0.0,2.0195,3.8659,10.092,11.23,Metadata_WA_Residential_WA_baseline_metadata_and_annual_results.csv,WA,Not Available
73927,0,3171,0.0,Not Available,,4,Marine,In another census Place,G5300530,,3 or 4 Unit,3,Electricity,55F,No,0F,,,,,Shared Heating,Non-Ducted Heating,Electricity Shared Heating,,,,Not Available,0,100%,101%,Vacant,Electric Standard,Electricity,0.0,0.0,48.08,0,50,9943.022197732984,68.87170149047222,0.0,0.0,360.4774163118333,10805.530357249832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10805.530357249832,0.0,31601.0,0.0,1.6394000000000002,10.5833,0.0,32.385,Metadata_WA_Residential_WA_baseline_metadata_and_annual_results.csv,WA,Not Available
80680,0,2678,0.0,Not Available,,3,Marine,"WA, Marysville",G5300610,,Single-Family Detached,2,Electricity,55F,No,0F,,Ducted Heat Pump,100% Conditioned,Ducted Heat Pump,"ASHP, SEER 13, 7.7 HSPF",Ducted Heat Pump,Electricity ASHP,,,,Not Available,0,200%,94%,Vacant,Electric Premium,Electricity,27.58,51.01,27.58,0,50,2615.366230216911,167.34358106833886,5.568350333272222,0.2930710701722222,225.07858189226667,5885.453231198567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5885.453231198567,10375.0,24496.0,0.0,3.8624,3.9876,23.481,18.86,Metadata_WA_Residential_WA_baseline_metadata_and_annual_results.csv,WA,Not Available
84649,0,1682,0.0,Not Available,,3,Cold,Not in a census Place,G5300250,,50 or more Unit,3,Electricity,55F,No,0F,,Non-Ducted Heat Pump,100% Conditioned,Non-Ducted Heat Pump,"MSHP, SEER 14.5, 8.2 HSPF",Non-Ducted Heat Pump,Electricity MSHP,,,,Not Available,0,50%,91%,Vacant,Electric Standard,Electricity,11.82,18.07,11.82,0,50,887.4192004814889,15.239695648955555,0.5861421403444445,0.0,360.1843452416612,2227.3401333088887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2227.3401333088887,6815.0,8489.0,0.0,3.0582,2.4053,9.589,8.026,Metadata_WA_Residential_WA_baseline_metadata_and_annual_results.csv,WA,Not Available
86716,0,2179,0.0,Not Available,,2,Cold,In another census Place,G5300130,,Single-Family Detached,2,Electricity,55F,Yes,3F,Night +4h,Non-Ducted Heat Pump,100% Conditioned,Non-Ducted Heat Pump,"MSHP, SEER 14.5, 8.2 HSPF",Non-Ducted Heat Pump,Electricity MSHP,,,,Not Available,0,200%,94%,Vacant,Electric Standard,Electricity,44.13,61.66,44.13,0,30,2608.918666673122,40.44380768376667,0.0,0.0,361.35662952235,5786.395209480355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5786.395209480355,29306.0,28397.0,0.0,5.4544,4.554399999999999,36.649,27.542,Metadata_WA_Residential_WA_baseline_metadata_and_annual_results.csv,WA,Not Available
101534,0,1228,0.0,Not Available,,3,Marine,"WA, Olympia",G5300670,,Single-Family Detached,1,Electricity,55F,No,0F,,"Room AC, EER 10.7",20% Conditioned,Room AC,"Electric Wall Furnace, 100% AFUE",Non-Ducted Heating,Electricity Electric Wall Furnace,,,,Not Available,0,100%,94%,Vacant,Electric Standard,Electricity,2.84,0.0,34.49,0,50,4364.121305934561,0.0,0.0,0.0,367.5111219959667,5935.861455268189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5935.861455268189,1066.0,14891.0,0.0,1.9896,5.822100000000001,2.71,14.378,Metadata_WA_Residential_WA_baseline_metadata_and_annual_results.csv,WA,Not Available
